Company Name,Sector,Stage,Investment Amount,Investment Type,Investment Date,Founder Name,Founder Email,Quarter,Type,Revenue,Burn,Traction,Runway Months,Narrative Good,Narrative Bad,Narrative Help
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,5,FORECAST,48764.35238,105972.1929,5173.595913,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,6,FORECAST,68815.78658,117640.1605,6879.510841,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,7,FORECAST,45625.16881,92708.80649,5381.231373,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,8,FORECAST,168791.4656,175802.8903,16783.13923,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,1,ACTUAL,9702.021546,87619.13404,584.4724656,10.39454471,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,2,ACTUAL,19989.91159,93809.43579,1399.227163,10.69938319,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,3,ACTUAL,23258.83843,69525.33714,1996.752485,13.22357715,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,1,FORECAST,32141.95663,83956.10022,451.6909469,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,2,FORECAST,46846.48685,95420.83285,590.1678462,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,3,FORECAST,63866.68518,92628.52548,1181.277428,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,4,FORECAST,74681.64169,113386.9519,1803.6244,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,5,FORECAST,138437.1507,107615.6251,1332.519622,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,6,FORECAST,151625.6226,157050.3551,3436.562205,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,7,FORECAST,149917.8048,180577.4375,7043.295253,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,8,FORECAST,272860.8292,151867.4731,6102.416862,,,,
CleanWater Tech,ClimateTech,Seed,1676782.759,CLN,01/01/2024,Founder 14,founder14@cleanwatertech.com,1,ACTUAL,41625.80563,113050.0476,584.9674859,12.56875987,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,1,FORECAST,16938.80264,50811.10515,517.2988288,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,2,FORECAST,24448.19849,55325.6008,783.0694331,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,3,FORECAST,31252.08645,67096.25223,1061.352155,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,4,FORECAST,54073.08166,72152.4475,2305.756478,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,5,FORECAST,59510.84031,68032.06101,1669.672998,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,6,FORECAST,91733.85364,81536.62123,3689.861692,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,7,FORECAST,117041.0605,109230.9463,3580.228429,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,8,FORECAST,216366.5678,73201.81896,9846.99716,,,,
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,1,ACTUAL,21859.68306,57122.43781,667.5789717,8.799914123,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,1535058.475,CLN,31/03/2024,Founder 14,founder14@cleanwatertech.com,2,ACTUAL,30933.20678,57643.83566,990.7825602,14.12196985,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,1,FORECAST,31173.77755,90956.83012,495.0864531,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,2,FORECAST,38033.48966,96932.23272,815.160039,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,3,FORECAST,48258.8726,112479.2375,958.4548582,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,4,FORECAST,94388.2292,107923.0285,1745.063796,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,5,FORECAST,143259.2826,115402.3679,1536.314912,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,6,FORECAST,126649.6065,121882.6084,5084.81478,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,7,FORECAST,144879.8357,175428.9194,7682.394617,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,8,FORECAST,394059.3319,232491.7567,9315.307855,,,,
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,1,ACTUAL,35192.97842,94155.73309,558.9174054,7.26022584,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,2,ACTUAL,22885.15454,118153.4416,490.4904502,9.165513219,Strong customer acquisition,Higher than expected burn,Need help with hiring
CleanWater Tech,ClimateTech,Seed,2263365.8,CLN,01/11/2024,Founder 14,founder14@cleanwatertech.com,3,ACTUAL,44278.18972,145129.5649,879.3957206,7.852839622,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,1,FORECAST,47631.00529,64744.41835,957.8408056,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,2,FORECAST,63605.82255,70905.47625,1268.517866,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,3,FORECAST,81436.31654,75075.92289,1645.884183,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,4,FORECAST,97487.8205,82043.43075,3645.334265,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,5,FORECAST,238650.6337,93578.57968,6072.034737,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,6,FORECAST,222677.645,94907.37958,4764.826783,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,7,FORECAST,213041.6417,128391.5677,9945.558504,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,8,FORECAST,236590.2356,105257.4948,28282.66617,,,,
CloudScale,SaaS,Pre-Seed,1210479.538,CLN,30/06/2024,Founder 17,founder17@cloudscale.com,1,ACTUAL,49630.38335,70779.17598,998.0475131,3.348815789,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,1,FORECAST,47343.74458,67964.77575,531.231974,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,2,FORECAST,60877.32007,75068.68937,708.1608122,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,3,FORECAST,68588.1459,88385.40525,1022.347481,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,4,FORECAST,159384.7724,89284.46907,1463.043642,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,5,FORECAST,144420.1032,114936.1604,1689.66875,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,6,FORECAST,286726.6397,103865.0358,7282.402092,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,7,FORECAST,294524.7535,102387.869,12336.95711,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,8,FORECAST,277627.4338,131387.052,10191.24767,,,,
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,1,ACTUAL,48062.97216,87819.2249,539.3022415,11.46293445,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,2,ACTUAL,79955.11342,87509.55587,930.0849313,10.02297875,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,505293.0139,CLN,01/01/2024,Founder 17,founder17@cloudscale.com,3,ACTUAL,57119.40607,97218.64349,851.3990304,4.125386529,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,1,FORECAST,27556.37946,74681.52905,231.1778162,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,2,FORECAST,36153.35654,83489.29879,332.2488027,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,3,FORECAST,48221.0964,96166.09375,536.8686715,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,4,FORECAST,87768.98774,92558.59832,853.8732184,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,5,FORECAST,59404.77441,97778.28223,1772.682695,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,6,FORECAST,169735.617,107015.2358,3088.459371,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,7,FORECAST,123405.6547,106004.5161,5260.00507,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,8,FORECAST,164392.3933,176456.8662,8399.028246,,,,
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,1,ACTUAL,31503.99844,103226.0221,264.2954446,14.22251802,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,2,ACTUAL,31266.91929,108194.2582,287.3425179,10.51566445,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudScale,SaaS,Pre-Seed,898813.5552,CLN,01/11/2024,Founder 17,founder17@cloudscale.com,3,ACTUAL,46491.62793,111233.452,517.6136667,6.035075735,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,1,FORECAST,19456.98817,91197.37755,327.9838786,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,2,FORECAST,27950.29711,98225.4157,442.8389122,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,3,FORECAST,40694.12974,118497.4869,678.3616669,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,4,FORECAST,43168.75956,111531.4528,1349.351635,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,5,FORECAST,46890.47586,141437.082,1407.174054,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,6,FORECAST,73986.89047,120897.7343,2973.35533,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,7,FORECAST,144727.5482,193960.8701,1923.592918,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,8,FORECAST,85399.6616,203214.6537,2618.526023,,,,
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,1,ACTUAL,21716.2121,116337.7555,366.0673179,13.14498101,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1986513.966,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,2,ACTUAL,24570.12964,96029.02867,389.2842154,10.42772753,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,1,FORECAST,38010.87054,141115.3762,190.8899835,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,2,FORECAST,52986.86079,160680.7539,264.1192077,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,3,FORECAST,57447.15053,183818.9003,331.497573,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,4,FORECAST,115374.1165,195772.0698,817.0421206,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,5,FORECAST,96343.52851,173012.8666,901.16931,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,6,FORECAST,114193.4162,262495.3472,1542.774207,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,7,FORECAST,336705.1075,236189.0819,1287.138895,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,8,FORECAST,444289.8023,259520.6514,2324.439094,,,,
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,1,ACTUAL,30538.76303,170088.8501,153.3651792,3.035948561,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,659579.3178,SAFE,01/11/2024,Founder 1,founder1@cloudsyncai.com,2,ACTUAL,40598.14541,194200.1174,202.3662062,8.834020387,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,1,FORECAST,24485.86136,95310.93881,837.9720832,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,2,FORECAST,35122.42154,105740.5108,1349.467717,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,3,FORECAST,45293.44992,120668.8839,1716.872963,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,4,FORECAST,80434.05411,131401.3798,3199.228356,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,5,FORECAST,78290.01206,138666.8834,5415.64953,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,6,FORECAST,178579.171,164507.8038,7445.322458,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,7,FORECAST,91820.54877,145584.9537,15991.93261,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,8,FORECAST,140263.0882,137162.4132,5412.395342,,,,
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,1,ACTUAL,20322.92145,91175.24075,695.5050744,5.267425626,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,2,ACTUAL,24524.16815,99230.14834,942.2634242,14.96626847,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,3,ACTUAL,46325.54489,136538.2055,1755.995086,6.959549399,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,1045531.219,SAFE,01/03/2024,Founder 1,founder1@cloudsyncai.com,4,ACTUAL,101024.8758,156538.1899,4018.219035,14.30436045,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,1,FORECAST,49432.27979,123806.2801,1003.64606,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,2,FORECAST,62818.22471,141909.4502,1361.724989,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,3,FORECAST,81030.62154,145510.0712,2191.557867,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,4,FORECAST,122733.8661,169106.2435,4080.1053,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,5,FORECAST,164330.8169,163486.018,4811.140643,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,6,FORECAST,202460.4312,197279.2098,9970.606402,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,7,FORECAST,452031.8575,272079.0989,17124.59833,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,8,FORECAST,183332.2834,246007.6328,23356.31882,,,,
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,1,ACTUAL,61656.97323,162771.5357,1251.849572,10.53139935,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,2,ACTUAL,44093.9594,137076.4458,955.8348179,13.39460258,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,3,ACTUAL,56084.37949,148154.2613,1516.860673,8.019406261,Strong customer acquisition,Higher than expected burn,Need help with hiring
CloudSync AI,SaaS,Pre-Seed,2443486.22,SAFE,01/12/2024,Founder 1,founder1@cloudsyncai.com,4,ACTUAL,82495.18965,163684.1562,2742.430197,11.39797858,Strong customer acquisition,Higher than expected burn,Need help with hiring
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,1,FORECAST,49101.37443,82456.87913,456.1623991,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,2,FORECAST,59219.43523,89103.78618,763.6683677,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,3,FORECAST,100546.745,92785.47839,1212.073428,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,4,FORECAST,90278.14643,96303.29091,1221.488983,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,5,FORECAST,224316.4278,123869.3396,2701.455022,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,6,FORECAST,123491.8681,151374.8352,1704.721436,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,7,FORECAST,264591.4408,169287.7398,4752.855277,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,8,FORECAST,786647.3976,193703.2941,10498.69357,,,,
CyberGuard,Cybersecurity,Series B,537627.9504,SAFE,30/09/2024,Founder 16,founder16@cyberguard.com,1,ACTUAL,67002.48529,84972.25754,622.4675946,5.028380319,Strong customer acquisition,Higher than expected burn,Need help with hiring
